l'amitié (f.);die Freundschaft
un extrait;ein Auszug
modèle / modèle;modellhaft, Muster-
une guerre;ein Krieg
un lecteur / une lectrice;ein Leser / eine Leserin
un auteur / une autrice;ein Autor / eine Autorin
le Québec;Québec (Provinz im Osten Kanadas)
chaque (+ nom);jeder / jede / jedes (+ Nomen)
un chapitre;ein Kapitel
un portrait;ein Porträt
doux / douce;mild, sanft, weich
principal / principale / principaux / principales;Haupt-
vivre;leben
une classe;eine Klasse
rêver de faire qc;davon träumen, etw. zu tun
une couverture;eine Decke, hier: ein Einband, ein Umschlag
un titre;ein Titel
une relation;eine Beziehung
plutôt;eher, vielmehr, ziemlich
amoureux / amoureuse;verliebt
tomber amoureux / amoureuse de qn;sich in jdn. verlieben
une famille recomposée;eine Patchworkfamilie
une situation;eine Situation
défendre qn / qc;jdn./etw. verteidigen
croire qc;etw. glauben
emmener qn / qc;jdn./etw. mitnehmen
déménager;umziehen
énervant / énervante; nervig, ärgerlich
un déménagement;ein Umzug
tellement;so viel, dermaßen
changer d`avis;seine Meinung ändern
accepter qn / qc;jdn./etw. akzeptieren, jdn./etw. annehmen
ne ... pas non plus;auch nicht
silencieux / silencieuse;schweigsam, still
déranger qn;jdn. stören
bruyant / bruyante;laut
propre / propre (vor dem Nomen);eigen
mince / mince;dünn
une dispute;ein Streit
l`enfer (m.);die Hölle
malgré qc;trotz etw.
finir par faire qc;etw. schließlich tun
prendre qn au sérieux;jdn. ernst nehmen
un journal intime;ein Tagebuch
pendant que (Konj.);während (Konj.)
réagir à qc;auf etw. reagieren
le karaté;das Karate
faire mal à qn;jdm. wehtun
malheureux / malheureuse;unglücklich
heureusement;glücklicherweise
la confiance;das Vertrauen
faire confiance à qn;jdm. vertrauen
le wifi;das WLAN
chatter avec qn;mit jdm. chatten
absolument;absolut, unbedingt
faire exprès;etw. absichtlich tun
si (+ Adjektiv);so (+ Adjektiv)
mieux;besser
souhaiter qc à qn;jdm. etw. wünschen
terrible / terrible;schrecklich
un conflit;ein Konflikt
donc;also
impressionner qn;jdn. beeindrucken
voler qc;etw. stehlen
un genre de ...;eine Art ...
se retourner contre qn;sich gegen jdn. wenden, sich gegen jdn. kehren
piéger qn;jdn. in eine Falle locken, jdn. hereinlegen
servir à qn;jdm. nützen
servir à qc;zu etw. nützen, zu etw. dienen
la peine;der Kummer, das Leid
rapporter qc;von etw. berichten, etw. wiedergeben (zitieren)
impossible / impossible;unmöglich
