devenir qn/qc;jd./etw. werden
populaire / populaire;beliebt, populär
rendre qn (+ adjectif);jdn. (+ Adjektiv) machen
apparaître;auftauchen, erscheinen
exister;existieren
une cachette;ein Versteck
en cachette;heimlich
la douleur;der Schmerz
comparer qc / qn (avec qc / qn);etw./jdn. (mit etw./jdm.) vergleichen
ressentir qc;etw. empfinden, etw. spüren
un instant;ein Augenblick
sembler;scheinen
puisque;da, weil
se disputer;sich streiten
la pêche (fam.);die Taucherbrille
l'argent (m.) de poche;das Taschengeld
s'ennuyer;sich langweilen
se retrouver;sich treffen
s'intéresser à qc;sich für etw. interessieren
gagner de l'argent (m.);Geld verdienen
bénévole / bénévole;ehrenamtlich, freiwillig
sérieusement;ernsthaft
être du même avis;der gleichen Meinung sein
se mettre à qc;mit etw. anfangen, mit etw. beginnen
une recherche;eine (Nach-)Forschung, hier: eine Suche
à partir de;ab
un serveur / une serveuse;ein Kellner / eine Kellnerin
un jardinier / une jardinière;ein Gärtner / eine Gärtnerin
avoir le droit de faire qc;das Recht haben, etw. zu tun
l'Institut Curie (m.);Institut für biologische und medizinische Forschung in Paris
un comptable / une comptable;ein Buchhalter / eine Buchhalterin
un médecin / une femme médecin;ein Arzt / eine Ärztin
un pain au chocolat;ein Schokoladenbrötchen
une aide;eine Hilfe, eine Unterstützung
un animateur / une animatrice;hier: ein Kursleiter / eine Kursleiterin, ein Betreuer / eine Betreuerin
un atelier;hier: ein Workshop, eine Werkstatt
le courage;der Mut
Bon courage!;Viel Glück! Viel Erfolg!
le ménage;der Haushalt
faire le ménage;(die Wohnung) putzen, den Haushalt machen
une tâche;eine Aufgabe
sortir qc;hier: etw. hinausbringen, etw. hervorholen
vider qc;etw. leeren
la vaisselle;das Geschirr
un lave-vaisselle;eine Spülmaschine
débarrasser la table;den Tisch abräumen
un aspirateur;ein Staubsauger
passer l'aspirateur;staubsaugen
nettoyer qc;etw. reinigen
nettoyer qc à fond;etw. sauber machen
un cours particulier;Nachhilfe, Nachhilfeunterricht
une offre;ein Angebot
se promener;spazieren gehen
s'informer sur qc;sich über etw. informieren
une réparation;eine Reparatur
se présenter;sich bewerben, sich vorstellen
plaire à qn;jdm. gefallen
un participant / une participante;ein Teilnehmer / eine Teilnehmerin
s'installer;hier: sich (hin)setzen, sich niederlassen
reconnaître qn / qc;jdn./etw. wiedererkennen
être en train de faire qc;gerade etw. tun
donner des cours de qc à qn;jdm. Unterricht in etw. geben
s'approcher de qn / qc;sich jdm./etw. nähern
se débrouiller;zurechtkommen, sich zu helfen wissen
fonctionner;funktionieren
réparer qc;etw. reparieren
venir de faire qc;gerade etw. getan haben
se sentir;sich fühlen
fou / fol / folle;verrückt
s'organiser;sich organisieren, sich seine Arbeit / Zeit (gut) einteilen
l'entraide (f.);die gegenseitige Hilfe
un engagement;ein Engagement, ein Einsatz
la société;die Gesellschaft
solidaire / solidaire;solidarisch
pauvre / pauvre;arm
un pauvre / une pauvre;ein Armer / eine Arme
une personne en situation de handicap;ein Mensch mit Behinderung
offrir qc à qn;jdm. etw. anbieten, jdm. etw. schenken
âgé / âgée;alt (bei Personen)
le babysitting;das Babysitting
la lecture;das Lesen, die Lektüre
une bibliothèque;eine Bibliothek, eine Bücherei
lutter pour / contre qc;für / gegen etw. kämpfen
un objet;ein Gegenstand
