la Martinique;Martinique (Insel in der Karibik)
un département;ein Département (französischer Verwaltungsbezirk)
métropolitain / métropolitaine;des Mutterlandes
outre-mer;Übersee
les Antilles (f.) (pl.);die Antillen
une partie;ein Teil
faire partie de qc;ein Teil von etw. sein, zu etw. gehören
un paysage;eine Landschaft
la géographie;die Geografie, die Erdkunde
une île;eine Insel
un port;ein Hafen
un bateau;ein Boot, ein Schiff
une tempête;ein Sturm
une vue;eine Aussicht
une saison;eine Jahreszeit
la campagne;das Land
découvrir qc;etw. entdecken
impressionner qn;jdn. beeindrucken
magnifique / magnifique;großartig
prudent / prudente;vorsichtig
environ;ungefähr
la montagne Pelée;Vulkanberg auf Martinique
un volcan;ein Vulkan
en activité;aktiv
le sable;der Sand
une rivière;ein Fluss
une forêt;ein Wald
tropical / tropicale;tropisch
se trouver;sich befinden
le littoral;das Küstengebiet
la mangrove;die Mangrove
le premier plan;der Vordergrund (Bild, Foto, Film)
l'arrière-plan (m.);der Hintergrund (Bild, Foto, Film)
le milieu;die Mitte
le centre;der Mittelpunkt, das Zentrum
la semaine d'après;die Woche danach / in der Woche danach
martiniquais / martiniquaise;Martiniqisch
un Martiniquais / une Martiniquaise;ein Martinikaner / eine Martinikanerin
un habitant / une habitante;ein Einwohner / eine Einwohnerin
se passer;geschehen, sich ereignen
accompagner qn;jdn. begleiten
la vie de tous les jours;das tägliche Leben
traverser qc;etw. überqueren, etw. durchqueren
le créole;kreolisch
une randonnée;eine Wanderung
faire de la randonnée;wandern
une fleur;eine Blume
impressionnant / impressionnante;eindrucksvoll, beeindruckend
un commentaire;ein Kommentar
le kayak (sport);das Kajakfahren
géant / géante;riesig, riesengroß
vieux / vieil / vieille;alt
une étape;eine Etappe
une fiche;ein Blatt, ein Zettel, eine (Kartei-)Karte
une énigme;ein Rätsel
une tradition;eine Tradition
un climat;ein Klima
antillais / antillaise;antillisch, westindisch
rond / ronde;rund
léger / légère;leicht
traditionnel / traditionnelle;traditionell
organiser qc;etw. organisieren
une course;ein Lauf, ein Rennen
sportif / sportive;sportlich
épicé / épicée;scharf
une noix de coco;eine Kokosnuss
un ananas;eine Ananas
une banane;eine Banane
rire;lachen
le carnaval;der Karneval
se dérouler;sich abspielen, stattfinden
terminer qc;etw. beenden
se terminer;zu Ende gehen
le mardi gras;Fastnachtsdienstag, Faschingsdienstag, Karnevalsdienstag
un costume;ein Kostüm
courir;laufen, rennen
jouer de qc;etw. spielen (Musikinstrument)
un tambour;eine Trommel
un cyclone;ein Wirbelsturm
les infos (f.) (pl.);die Nachrichten
fort / forte;stark
rien ne ... (Subjekt);nichts (Subjekt)
résister à qn / qc;jdm./etw. Widerstand leisten
une consigne;hier: eine Anweisung, ein Arbeitsauftrag
indiquer qc;auf etw. hinweisen, etw. angeben
un niveau;ein Niveau, eine Stufe
un danger;eine Gefahr
une urgence;ein Notfall
un kit d'urgence;ein Notfallset
une radio;ein Radio
des vêtements (m.);Kleidung
une lampe de poche;eine Taschenlampe
se protéger;sich schützen
personne ne ... (Objet);niemand (Objekt)
violet / violette;violett
se confiner;zu Hause bleiben, drinnen bleiben
un ouragan;ein Orkan
officiel / officielle;offiziell, amtlich
une langue officielle;eine Amtssprache
une langue maternelle;eine Muttersprache
la colonisation;die Kolonisation, die Kolonialisierung
un mélange;eine Mischung
un esclave / une esclave;ein Sklave / eine Sklavin
une sorte (de ...);eine Sorte, eine Art
un chanteur / une chanteuse;ein Sänger / eine Sängerin
une métropole;eine Metropole, hier: Frankreich als Mutterland
un style de musique;eine Musikrichtung
un instrument (de musique);ein (Musik-)Instrument
le reggae;der Reggae
magique / magique;magisch, zauberhaft
fantastique / fantastique;fantastisch, toll
juste;nur, bloß
les paroles (f.) (pl.);der Liedtext
un refrain;ein Refrain
gai / gaie;fröhlich
