participer à qc;an etw. teilnehmen
choisir qc / qn;etw./jdn. auswählen
aider qn;jdm. helfen
perdre qc / qn;etw./jdn. verlieren
préparer qc;etw. vorbereiten
facile / facile;leicht
un(e) correspondant(e);ein(e) Brieffreund(in)
un voyage;eine Reise
un mois;ein Monat
une journée;ein Tag
depuis;seit
ensuite;dann
Vive ... !;Es lebe ...!
un échange;ein Tausch, ein Austausch
plusieurs;mehrere
une possibilité;eine Möglichkeit
un échange scolaire;ein Schüleraustausch
un séjour;ein Aufenthalt
un accueil;ein Empfang
une famille d'accueil;eine Gastfamilie
franco-allemand / franco-allemande;deutsch-französisch
l'OFAJ (m.) (Office franco-allemand pour la jeunesse);das DFJW (Deutsch-französisches Jugendwerk)
un lycée;ein Gymnasium, ein Lycée
excité / excitée;aufgeregt
un programme d'échange;ein Austauschprogramm
l'Allemagne (f.);Deutschland
un correspondant / une correspondante;ein Brieffreund / eine Brieffreundin, eine Austauschpartnerin / ein Austauschpartner
difficile / difficile;schwierig
supporter qn / qc;jdn./etw. aushalten, jdn./etw. ertragen
une annonce;eine Anzeige, eine Annonce
une expérience;eine Erfahrung
un progrès;ein Fortschritt
rechercher qn;jdn. suchen (z.B. für einen Austausch)
tout / toute / tous / toutes;ganz (+ Nomen), alle (+ Nomen)
aller chercher qn;jdn. abholen
aussi rouge que;so rot wie
une phrase;ein Satz
un mot;ein Wort
un début;ein Anfang
au début;am Anfang
pareil / pareille;gleich
le skate;das Skaten, das Skateboard
plus long que;länger als
timide / timide;schüchtern
disponible / disponible;verfügbar
moins disponible que;weniger verfügbar als
des chips (f.) (pl.);(Kartoffel-)Chips
un pays;ein Land
le mal du pays;das Heimweh
être embêté / être embêtée (fam.);verlegen sein, sich unangenehm sein
meilleur / meilleure (Steigerungsform von "bon");besser
impatient / impatiente;ungeduldig
à une heure de ...;hier: eine Stunde entfernt von ...
la campagne;das Land (im Gegensatz zur Stadt)
magnifique / magnifique;wunderschön, großartig
la réalité;die Wirklichkeit, die Realität
un âne / une ânesse;ein Esel / eine Eselin
un chien / une chienne;ein Hund / eine Hündin
par contre;hingegen, dagegen
la nuit;die Nacht
déçu / déçue;enttäuscht
pire / pire (Steigerungsform von "mauvais");schlimmer
exprimer qc;etw. ausdrücken
possible / possible;möglich
Ne t'en fais pas. (fam.);Mach dir nichts draus. (ugs.)
grave / grave;schlimm
Ne t'inquiète pas.;Mach dir keine Sorgen.
essayer de faire qc;versuchen, etw. zu tun
répéter qc;etw. wiederholen
Ça craint! (fam.);Das ist mies! (ugs.), Das ist übel!
ressembler à qn/qc;jdm./etw. ähnlich sehen
confondre qc;etw. verwechseln
poli / polie;höflich
gentil / gentille;nett
Excusez-moi!;Entschuldigen Sie! / Entschuldigung!
sonner;klingeln
occupé / occupée;hier: beschäftigt, besetzt
sauf;außer
un casque;ein Sturzhelm, ein Schutzhelm
le plus beau / la plus belle;der schönste / die schönste / das schönste
une capitale;eine Hauptstadt
incroyable / incroyable;unglaublich
revenir;zurückkommen
des hauts et des bas (m.) (pl.);Höhen und Tiefen
noter qc;etw. aufschreiben
un carnet de voyage;ein Reisetagebuch
une balade;ein Spaziergang
manquer à qn;jdm. fehlen
le meilleur / la meilleure (Steigerungsform von "bon");der beste / die beste / das beste
le monde;die Welt
typique / typique;typisch
la province;die Provinz
un bol;eine Schale (= eine Trinkschale)
un savon;eine Seife
